"Gemeente","Aantal"
"Vaals",0
"Valkenburg aan de Geul",0
"Valkenswaard",0
"Veendam",0
"Veenendaal",1
"Veere",1
"Veldhoven",1
"Velsen",1
"Venlo",2
"Venray",0
"Vijfheerenlanden",1
"Vlaardingen",1
"Vlieland",0
"Vlissingen",0
"Voerendaal",0
"Voorschoten",0
"Voorst",1
"Vught",1
"Waadhoeke",0
"Waalre",1
"Waalwijk",6
"Waddinxveen",1
"Wageningen",0
"Wassenaar",0
"Waterland",1
"Weert",0
"Weesp",0
"West Betuwe",2
"West Maas en Waal",2
"Westerkwartier",0
"Westerveld",0
"Westervoort",0
"Westerwolde",0
"Westland",0
"Weststellingwerf",0
"Westvoorne",1
"Wierden",0
"Wijchen",1
"Wijdemeren",0
"Wijk bij Duurstede",1
"Winterswijk",0
"Woensdrecht",0
"Woerden",2
"Wormerland",0
"Woudenberg",1
"Zaanstad",1
"Zaltbommel",1
"Zandvoort",0
"Zeewolde",1
"Zeist",3
"Zevenaar",0
"Zoetermeer",0
"Zoeterwoude",0
"Zuidplas",0
"Zundert",2
"Zutphen",0
"Zwartewaterland",0
"Zwijndrecht",0
"Zwolle",2
